std_smiles,std_units,std_relation,std_values,inchi_key
N#Cc1cc(-c2nc(N)[nH]c(=O)c2C#N)ccc1OCC1CC1,ucm/s,=,0.1,WUPFZEWFJOWNGF-UHFFFAOYSA-N
CC(C)(C)COc1ccc(-c2nc(N)[nH]c(=O)c2C#N)cc1OC(F)(F)F,ucm/s,=,0.4,CJNNMPWWFJQGRZ-UHFFFAOYSA-N
N#Cc1cc(-c2nc(N)[nH]c(=O)c2Cl)ccc1OCCCCO,ucm/s,=,0.2,LEVILMOHBHMMQJ-UHFFFAOYSA-N
CC(C)CC(C=O)NC(=O)C(NS(=O)(=O)c1ccc(F)cc1)C(C)C,ucm/s,=,2.6,WSJWUIDLGZAXID-UHFFFAOYSA-N
CC(C)CC(NC(=S)Nc1ccccc1)C(=O)NC1CCOC1O,ucm/s,=,14.3,DFTOOBKXSNAAPW-UHFFFAOYSA-N
O=C(c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12)N1CCCCC1,ucm/s,=,22.7,CODNVKZNSSLHQO-UHFFFAOYSA-N
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,ucm/s,=,0.58,ULGZDMOVFRHVEP-UHFFFAOYSA-N
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,ucm/s,=,2.8,BWKDAMBGCPRVPI-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,3.73,BMQGVNUXMIRLCK-UHFFFAOYSA-N
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,0.97,RCINICONZNJXQF-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccn2)C(C)=C1C3(C)C,ucm/s,=,3.66,MMIPBYYFZQOYPO-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C34OC(=O)OC3C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C4(C)C,ucm/s,=,1.07,QGOGKIUWKPNHQZ-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccn2)C(C)=C1C3(C)C,ucm/s,=,2.46,OLYCDMNBVWFBBV-UHFFFAOYSA-N
COC1C(=O)C2(C)CCC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,3.64,HPINLBCXKLHCAI-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C3(C)C,ucm/s,=,8.11,VEEZCBSCSARZSZ-UHFFFAOYSA-N
COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C(C(OC)C(=O)C12C)C3(C)C,ucm/s,=,6.97,LNTCDZAZTNTFLM-UHFFFAOYSA-N
COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccn4)C(C)=C(C(OC)C(=O)C12C)C3(C)C,ucm/s,=,4.53,LOWBLHHNSSFOCY-UHFFFAOYSA-N
COC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,ucm/s,=,0.88,PRRHAKUNMDPHBL-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C34OC(=O)OC3C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccn3)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C4(C)C,ucm/s,=,4.68,FWZHHMAVFQEEMW-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,ucm/s,=,2.4,WVAHPXJQZYFYSI-UHFFFAOYSA-N
COC(=O)OC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,6.91,NTKLKKOXFQMCKY-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccn3)C(C)=C1C2(C)C,ucm/s,=,4.41,IMDAAAFISIQHIH-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)c2ccccc2)c2ccccc2)C(C)=C1C3(C)C,ucm/s,=,1.48,MLKPYCHOESOSAO-UHFFFAOYSA-N
COC1C(=O)C2(C)CCC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,ucm/s,=,2.64,VIPOBTLDVKYOHC-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,ucm/s,<,1.67,XTSFELBXACISES-UHFFFAOYSA-N
COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C34OC(=O)OC3C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C(C(OC)C(=O)C12C)C4(C)C,ucm/s,=,3.93,AEYWDKDFKFVYDR-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C3(C)C,ucm/s,=,2.94,NOCICHQCHXOOFE-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C3(C)C,ucm/s,=,8.17,SFQQHROWKOLDJN-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C2(C)C,ucm/s,=,10.68,BMSLIQRKQBFLMU-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,ucm/s,=,2.57,QIXHMNCRBYSZPM-UHFFFAOYSA-N
COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C34OC(=O)OC3C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C(C(OC)C(=O)C12C)C4(C)C,ucm/s,=,0.92,BPHLOHMVUUKXFL-UHFFFAOYSA-N
COC1C(=O)C2(C)CCC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C2(C)C,ucm/s,=,7.17,WSUSFQQYPJCTBS-UHFFFAOYSA-N
COC(=O)OC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,4.38,VZECOSBRFJVFDM-UHFFFAOYSA-N
COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C(C(OC)C(=O)C12C)C3(C)C,ucm/s,=,3.32,YICUVVKDRUHJHT-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,3.27,GNAWDENJRYYKPX-UHFFFAOYSA-N
COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C(C(OC)C(=O)C12C)C3(C)C,ucm/s,=,7.16,KMQVHPJBDWNXNB-UHFFFAOYSA-N
COC(=O)OC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,ucm/s,<,1.43,HLHBSUWTYWEQFU-UHFFFAOYSA-N
COC(=O)OC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C2(C)C,ucm/s,=,8.87,SLCUDSGNGAVNAO-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,ucm/s,=,2.83,FTCXJADVMHXSQS-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C34OC(=O)OC3C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C4(C)C,ucm/s,=,16.4,LDMYVUVPUGUSHR-UHFFFAOYSA-N
COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccn4)C(C)=C(C(OC(=O)N(C)C)C(=O)C12C)C3(C)C,ucm/s,=,3.02,HQLJWDBCLADPDR-UHFFFAOYSA-N
COC1C(=O)C2(C)C(OC(=O)N(C)C)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,ucm/s,=,10.55,XVZNFAAFLPHWPJ-UHFFFAOYSA-N
CN1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,ucm/s,=,28.0,VXBAJLGYBMTJCY-UHFFFAOYSA-N
O=c1cc(C2CCNCC2)o[nH]1,ucm/s,<,0.01,YYOYGSTYWVHCJR-UHFFFAOYSA-N
CC1(c2cc(=O)[nH]o2)CCNCC1,ucm/s,=,0.4,JEGDFKOGLTVGEE-UHFFFAOYSA-N
CN1CCC(c2cc(=O)[nH]o2)CC1,ucm/s,=,1.0,RFORRJWTWBSVQH-UHFFFAOYSA-N
Cn1oc(C2CCNCC2)cc1=O,ucm/s,=,0.4,WCIADTUSAHGEJH-UHFFFAOYSA-N
CC1CC(c2cc(=O)[nH]o2)CCN1,ucm/s,=,0.6,VYGDBUNFMFHVLJ-UHFFFAOYSA-N
O=c1cc(C2CCNCC2)[nH]o1,ucm/s,=,0.5,OSMZMMPRYUBKJZ-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3ccccc3)C2)o[nH]1,ucm/s,=,4.1,LNFPEBXLWIXQLF-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3ccccc3)C2)o[nH]1,ucm/s,=,1.2,LNFPEBXLWIXQLF-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3ccccc3)C2)o[nH]1,ucm/s,=,1.0,LNFPEBXLWIXQLF-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3ccccc3)C2)o[nH]1,ucm/s,=,1.9,LNFPEBXLWIXQLF-UHFFFAOYSA-N
CC(C)CC1CC(c2cc(=O)[nH]o2)CCN1,ucm/s,=,1.0,CFKOLKAQDSAASE-UHFFFAOYSA-N
CC(C)(C)CC1CC(c2cc(=O)[nH]o2)CCN1,ucm/s,=,2.6,ORLPPUHANSFJCS-UHFFFAOYSA-N
CC(C)(C)CCC1CC(c2cc(=O)[nH]o2)CCN1,ucm/s,=,4.5,UQUXRYFBAUAUQO-UHFFFAOYSA-N
O=c1cc(C2CCNC(CC3CCCCC3)C2)o[nH]1,ucm/s,=,6.2,RFXLXOCXGKCDLJ-UHFFFAOYSA-N
O=c1cc(C2CCNC(CCc3ccccc3)C2)o[nH]1,ucm/s,=,2.6,RUNJHXCAYKNYJM-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3ccccc3F)C2)o[nH]1,ucm/s,=,1.8,FWYQTKXQDUQOJT-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3cccc(F)c3)C2)o[nH]1,ucm/s,=,3.1,GQBSOTILFRHBGN-UHFFFAOYSA-N
O=c1cc(C2CCNC(Cc3ccc(F)cc3)C2)o[nH]1,ucm/s,=,3.7,ZAXMUQMLLJYFEG-UHFFFAOYSA-N
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,ucm/s,=,0.2,VMXUWOKSQNHOCA-UHFFFAOYSA-N
CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4cncnc4)cc23)CC1,ucm/s,=,13.0,WAWSGWZTHJAPIA-UHFFFAOYSA-N
